id,treatment,age,female,black,hispanic,white,democrat,republican,trans_therm_t0,trans_therm_t1,trans_therm_t2,trans_therm_t3,trans_law_t3,responded_t1,responded_t3
60140,1,43,0,0,0,1,0,0,50,50,50,50,2,1,1
16013,1,40,1,0,1,0,0,0,50,86,70,86,2,1,1
2446,0,72,1,0,0,1,0,1,50,NA,NA,NA,NA,0,0
8560,1,60,0,0,1,0,1,0,27,15,NA,NA,NA,1,0
65641,0,21,0,0,0,1,0,0,65,71,54,56,2,1,1
41543,0,59,0,0,0,1,1,0,50,0,50,50,2,1,1
54167,1,62,1,0,0,1,0,1,50,50,NA,NA,NA,1,0
1328,0,38,0,0,1,0,1,0,0,NA,NA,NA,NA,0,0
9801,0,29,1,0,0,1,1,0,100,NA,NA,NA,NA,0,0
45204,1,45,1,0,1,0,0,1,48,NA,NA,NA,NA,0,0
24918,1,52,0,0,1,0,0,0,50,NA,NA,NA,NA,0,0
5903,1,20,0,0,1,0,1,0,100,NA,NA,NA,NA,0,0
55380,1,21,1,0,1,0,1,0,93,NA,NA,NA,NA,0,0
26465,0,57,1,0,1,0,0,0,45,50,50,72,2,1,1
42237,0,56,0,0,1,0,1,0,50,NA,NA,NA,NA,0,0
64104,0,58,1,0,0,1,1,0,50,NA,NA,NA,NA,0,0
20679,1,41,1,0,1,0,0,1,71,93,93,87,3,1,1
47837,1,25,0,0,1,0,0,0,50,NA,NA,NA,NA,0,0
33801,1,22,0,0,1,0,0,0,50,NA,NA,NA,NA,0,0
18537,1,42,1,0,1,0,0,1,50,NA,NA,NA,NA,0,0
58844,1,22,0,0,1,0,0,0,50,NA,NA,NA,NA,0,0
43923,0,75,0,0,1,0,0,1,50,64,50,50,2,1,1
293,0,80,1,0,1,0,0,1,86,31,100,96,3,1,1
50390,0,38,1,0,1,0,0,0,50,NA,NA,NA,NA,0,0
1107,1,78,0,0,1,0,0,1,50,NA,NA,NA,NA,0,0
5349,1,57,1,0,0,1,1,0,50,NA,NA,NA,NA,0,0
53971,0,69,1,0,0,1,1,0,100,NA,NA,NA,NA,0,0
66100,0,35,1,0,1,0,1,0,100,50,62,NA,NA,1,0
6310,1,60,1,0,0,1,1,0,50,NA,NA,NA,NA,0,0
50183,1,67,0,0,1,0,0,1,50,NA,NA,NA,NA,0,0
11391,0,51,1,0,1,0,0,1,50,50,50,50,1,1,1
28515,0,30,1,0,1,0,0,0,50,50,50,50,0,1,1
65524,0,38,1,0,1,0,0,1,50,NA,NA,NA,NA,0,0
67851,1,47,1,0,1,0,0,1,10,NA,NA,NA,NA,0,0
62509,1,20,1,0,1,0,0,0,50,NA,NA,NA,NA,0,0
15745,1,63,1,0,0,1,1,0,50,NA,NA,NA,NA,0,0
35106,0,27,1,0,1,0,0,0,100,NA,NA,NA,NA,0,0
